ytid,start_s,end_s,audioset_positive_labels,aspect_list,caption,author_id,is_balanced_subset,is_audioset_eval,label_list,aspect_list_parsed,caption_word_count,num_aspects
-7B9tPuIP-w,450,460,"/m/0155w,/m/04rlf,/m/07sr1lc","['male vocalist', 'medium fast tempo', 'monologue', 'background music', 'hit songs', 'retro', 'narrator', 'narration', 'documentary', 'animated singing', 'enthusiastic drumming', 'cymbal ride', 'electric guitar', 'groovy bass lines', 'rock and rock', 'classic rock and rock', 'muffled', 'blues', 'rock hits', 'vocalisation']","A male voice narrates a monologue to the rhythm of a song in the background. The song is fast tempo with enthusiastic drumming, groovy bass lines,cymbal ride, keyboard accompaniment ,electric guitar and animated vocals. The song plays softly  in the background as the narrator speaks and burgeons when he stops. The song is a classic Rock and Roll and the narration is a Documentary.",7,False,True,"['/m/0155w', ' /m/04rlf', ' /m/07sr1lc']","['male vocalist', 'medium fast tempo', 'monologue', 'background music', 'hit songs', 'retro', 'narrator', 'narration', 'documentary', 'animated singing', 'enthusiastic drumming', 'cymbal ride', 'electric guitar', 'groovy bass lines', 'rock and rock', 'classic rock and rock', 'muffled', 'blues', 'rock hits', 'vocalisation']",64,20
-7wUQP6G5EQ,30,40,"/m/02cjck,/m/02w4v,/m/04rlf","['low quality', 'noisy', 'renaissance music', 'soft wooden percussions', 'mellow harmonized flute melody', 'mellow', 'soulful', 'passionate', 'emotional', 'vintage']","The low quality recording features a renaissance music that consists of soft wooden percussion and mellow, harmonized flute melody playing on top of it. The recording is a bit noisy, but it also sounds soulful, mellow, passionate, emotional and vintage - It really puts the listener in a period of renaissance.",4,False,False,"['/m/02cjck', ' /m/02w4v', ' /m/04rlf']","['low quality', 'noisy', 'renaissance music', 'soft wooden percussions', 'mellow harmonized flute melody', 'mellow', 'soulful', 'passionate', 'emotional', 'vintage']",51,10
-8cgbhIR_pw,30,40,"/m/042v_gx,/m/04rlf,/m/04szw,/m/06w87,/m/07s0s5r,/m/0fx80y,/t/dd00034","['low quality', 'passionate muddy male vocal', 'arpeggiated acoustic guitar melody', 'noisy', 'muddy', 'cover', 'emotional', 'ballad', 'raw', 'messy']","The low quality recording features a cover of a ballad song that consists of passionate, muddy male vocal singing over arpeggiated acoustic guitar melody. It sounds noisy, muddy and messy, as the frequencies are clashing, but it is also emotional and raw.",4,False,True,"['/m/042v_gx', ' /m/04rlf', ' /m/04szw', ' /m/06w87', ' /m/07s0s5r', ' /m/0fx80y', ' /t/dd00034']","['low quality', 'passionate muddy male vocal', 'arpeggiated acoustic guitar melody', 'noisy', 'muddy', 'cover', 'emotional', 'ballad', 'raw', 'messy']",42,10
#NAME?,30,40,"/m/04rlf,/t/dd00032","['intimate wide mixed vocals', 'synth lead melody', 'punchy kick', 'noisy snare', 'claps', 'groovy bass guitar', 'tinny wide hi hats', 'short snare roll', 'alternative/indie', 'electric guitar melody', 'easygoing', 'melancholic']","The Alternative/Indie song features an intimate, widely spread, mixed vocals singing over noisy snare, punchy kick, wide tinny hi hats, electric guitar melody, synth lead melody and groovy bass guitar. At the end of the loop there is a short snare roll and some claps. It sounds easygoing and melancholic thanks to those vocals.",4,False,True,"['/m/04rlf', ' /t/dd00032']","['intimate wide mixed vocals', 'synth lead melody', 'punchy kick', 'noisy snare', 'claps', 'groovy bass guitar', 'tinny wide hi hats', 'short snare roll', 'alternative/indie', 'electric guitar melody', 'easygoing', 'melancholic']",54,12
#NAME?,410,420,"/m/01p970,/m/026t6,/m/0l14md","['hindustani classical music', 'harmonium', 'bansuri', 'tabla', 'electronic drums', 'upbeat', 'joyful']","This is a Hindustani classical music piece. There is a harmonium playing the main tune. A bansuri joins in to play, supporting a melody every now and then. The rhythmic background consists of the tabla percussion and the electronic drums. The atmosphere of the piece is joyful.",9,False,False,"['/m/01p970', ' /m/026t6', ' /m/0l14md']","['hindustani classical music', 'harmonium', 'bansuri', 'tabla', 'electronic drums', 'upbeat', 'joyful']",47,7
#NAME?,30,40,"/m/025td0t,/m/02cjck,/m/04rlf","['atmospheric', 'cinematic', 'calming', 'flute/string/brass sound', 'cymbals', 'synth pad drone', 'slow tempo']",A synth pad is playing a drone sound in the lower mid range. Cymbals are creating atmosphere while a flute/string/brass sound is playing a melody. The whole recording is full of reverb. This song may be playing in a forest documentary.,6,False,True,"['/m/025td0t', ' /m/02cjck', ' /m/04rlf']","['atmospheric', 'cinematic', 'calming', 'flute/string/brass sound', 'cymbals', 'synth pad drone', 'slow tempo']",41,7
#NAME?,30,40,"/m/01qbl,/m/026t6,/m/02hnl,/m/03qtq,/m/03t3fj,/m/0bm02,/m/0l14md","['low quality', 'mono', 'noisy', 'drums solo', 'double pedal kick', 'punchy snare', 'shimmering cymbals', 'boomy toms', 'energetic', 'manic']","The low quality recording features a drum solo that consists of a double pedal kick, punchy snare, shimmering cymbals and boomy toms. It sounds energetic and manic, thanks to that kick pattern. The recording is mono and noisy.",4,False,False,"['/m/01qbl', ' /m/026t6', ' /m/02hnl', ' /m/03qtq', ' /m/03t3fj', ' /m/0bm02', ' /m/0l14md']","['low quality', 'mono', 'noisy', 'drums solo', 'double pedal kick', 'punchy snare', 'shimmering cymbals', 'boomy toms', 'energetic', 'manic']",38,10
#NAME?,50,60,"/m/01swy6,/m/04rlf,/t/dd00126","['oriental/ballad', 'guitar like instrumental', 'bass', 'male voice singing', 'female backing voice singing', 'sad', 'slow tempo', 'harp']","Someone is playing a guitar-like instrument in a tremolo fashion along with someone playing a melody on a harp along with a bass playing the root note. A male voice is singing, sounding sad and sensitive. A backing voice that seems to be female is singing along, providing harmonies. This song may be playing in a dance performance.",6,False,True,"['/m/01swy6', ' /m/04rlf', ' /t/dd00126']","['oriental/ballad', 'guitar like instrumental', 'bass', 'male voice singing', 'female backing voice singing', 'sad', 'slow tempo', 'harp']",58,8
#NAME?,260,270,/m/0395lw,"['loud bells impacts', 'metallic squeaking sound', 'low quality', 'mono', 'noisy']",The low quality recording features loud bells and metallic squeaking sounds. The recording is mono and noisy.,4,False,False,['/m/0395lw'],"['loud bells impacts', 'metallic squeaking sound', 'low quality', 'mono', 'noisy']",17,5
#NAME?,190,200,"/m/026t6,/m/02hnl,/m/02k_mr,/m/03t3fj,/m/06rvn,/m/0bm02,/m/0l14md","['punk rock', 'gothic rock', 'male vocals', 'grunt-like singing', 'electric guitar', 'bass guitar', 'acoustic guitar', 'hard-hitting', 'aggressive']",This is a punk rock music piece. There are male vocals singing in a grunt-like manner. The melody is being played by an electric guitar while a bass guitar plays in the background. The rhythm consists of a slightly fast-paced rock acoustic drum beat. The piece has an aggressive atmosphere. It could be used in the soundtrack of an action-filled video game.,9,False,False,"['/m/026t6', ' /m/02hnl', ' /m/02k_mr', ' /m/03t3fj', ' /m/06rvn', ' /m/0bm02', ' /m/0l14md']","['punk rock', 'gothic rock', 'male vocals', 'grunt-like singing', 'electric guitar', 'bass guitar', 'acoustic guitar', 'hard-hitting', 'aggressive']",62,9
#NAME?,90,100,"/m/04rlf,/t/dd00037","['building suspense', 'cartoon show soundtrack', 'story telling', 'tense harmony', 'drumming rolls', 'poor audio quality', 'instrumental music', 'medium tempo', 'suspense', 'mystery', 'string section harmony', 'animated show', 'horns playing to a crescendo', 'poor audio quality', 'low bass thumps']","The song is an instrumental. The song is medium tempo, with a horn and string section and a drum section playing to a crescendo, followed by a low frequency thumping rhythm. The song is an instrumental soundtrack for an animated show. The audio quality is poor.",1,False,False,"['/m/04rlf', ' /t/dd00037']","['building suspense', 'cartoon show soundtrack', 'story telling', 'tense harmony', 'drumming rolls', 'poor audio quality', 'instrumental music', 'medium tempo', 'suspense', 'mystery', 'string section harmony', 'animated show', 'horns playing to a crescendo', 'poor audio quality', 'low bass thumps']",46,15
#NAME?,30,40,"/m/04rlf,/t/dd00004,/t/dd00005","['jingle', 'chipmunk vocal', 'transposed instruments', 'piano', 'electronic drums', 'high pitch', 'irritating', 'poor quality', 'bizarre']",This is a heavily edited version of a birthday song. The track has been transposed to make the original vocal sound like a little girl which resulted in a chipmunk vocal effect. The piano playing the melody and the electronic drum beat is at an irritatingly higher pitch than normal. This creates a bizarre atmosphere. It could be used in nightmare sequences in video games or TV shows.,9,False,True,"['/m/04rlf', ' /t/dd00004', ' /t/dd00005']","['jingle', 'chipmunk vocal', 'transposed instruments', 'piano', 'electronic drums', 'high pitch', 'irritating', 'poor quality', 'bizarre']",68,9
#NAME?,30,40,"/m/04rlf,/m/07qv_x_","['low quality', 'r&b', 'boomy', 'passionate male vocal', 'claps', 'shimmering hi hats', 'groovy bass', 'noisy', 'passionate', 'speaker', 'reverberant', '4 on the floor kick']","The low quality recording features a R&B song playing on a speaker, judging by the reverberant and boomy sound of it. The song consists of passionate male vocal singing over shimmering hi hats, claps, groovy bass and ""4 on the floor"" kick pattern, It sounds passionate, like something you would dance to with your partner.",4,False,True,"['/m/04rlf', ' /m/07qv_x_']","['low quality', 'r&b', 'boomy', 'passionate male vocal', 'claps', 'shimmering hi hats', 'groovy bass', 'noisy', 'passionate', 'speaker', 'reverberant', '4 on the floor kick']",55,12
#NAME?,30,40,"/m/02cz_7,/m/04rlf,/m/0y4f8","['amateur recording', 'beatboxing', 'female voice', 'funny', 'comedic']",This is an amateur recording of a female voice beatboxing. It is a funny recording. It could be playing in the background of comedic social media content.,9,False,False,"['/m/02cz_7', ' /m/04rlf', ' /m/0y4f8']","['amateur recording', 'beatboxing', 'female voice', 'funny', 'comedic']",27,5
#NAME?,0,10,/m/01lyv,"['country music', 'fiddle', 'acoustic guitar', 'electric guitar', 'gentle playing', 'slow tempo', 'easygoing', 'sentimental', 'longing']","This is a country music piece. There is a fiddle playing the main melody. The acoustic guitar and the electric guitar are playing gently in the background. The song has a slow tempo. The atmosphere is sentimental. This piece can be used in the soundtrack of an American drama movie, especially during the scenes where the feeling of longing is emphasized.",9,False,False,['/m/01lyv'],"['country music', 'fiddle', 'acoustic guitar', 'electric guitar', 'gentle playing', 'slow tempo', 'easygoing', 'sentimental', 'longing']",61,9
#NAME?,30,40,"/m/01glhc,/m/02sgy,/m/0342h,/m/03lty,/m/04rlf,/m/0g12c5","['low quality', 'noisy', 'cover', 'rock', 'electric guitar solo melody', 'playback instrumental', 'punchy snare', 'punchy kick', 'smooth bass', 'soft cymbals', 'passionate', 'muffled']","The low quality recording features a cover of a rock song that consists of an electric guitar solo melody played over playback instrumental. The instrumental features a punchy kick and snare hits, soft cymbals and smooth bass. It sounds passionate, even though the recording is muffled and noisy, as it was probably recorded with a phone.",4,False,True,"['/m/01glhc', ' /m/02sgy', ' /m/0342h', ' /m/03lty', ' /m/04rlf', ' /m/0g12c5']","['low quality', 'noisy', 'cover', 'rock', 'electric guitar solo melody', 'playback instrumental', 'punchy snare', 'punchy kick', 'smooth bass', 'soft cymbals', 'passionate', 'muffled']",56,12
#NAME?,30,40,"/m/04rlf,/m/04wptg","['classical', 'baroque', 'canon', 'single instrument', 'instrumental', 'harp', 'catchy', 'iconic', 'calming', 'hopeful', 'positive', 'wedding music']",This is a classical music piece belonging to the baroque period. The piece is being performed with a harp. There is a catchy tune being played with a positive aura. This piece could suit well as wedding music. It could be used in the soundtrack of a documentary. It could also be playing in the background of a classy restaurant or a museum.,9,False,True,"['/m/04rlf', ' /m/04wptg']","['classical', 'baroque', 'canon', 'single instrument', 'instrumental', 'harp', 'catchy', 'iconic', 'calming', 'hopeful', 'positive', 'wedding music']",63,12
#NAME?,30,40,"/m/024dl,/m/04rlf","['instrumental', 'fast tempo', 'happy', 'perky', 'punchy', 'background sounds super imposed by music', 'digital pads', 'lively', 'synthesised violins', 'upbeat', 'synthesiser arrangements', 'lively piano harmony', 'punchy digital drum rhythm', 'sound of beeping', 'funky bass line', 'tapping']","This music is a spirited instrumental. The tempo is fast with an animated Piano harmony, synthesiser  arrangements, synthesised violins, rhythmic digital drums, funky bass lines and electronic sounds. The music is superimposed over sounds of tapping and rhythmic beeping. The music is happy, perky, upbeat, enthusiastic, lively and spirited.",7,False,True,"['/m/024dl', ' /m/04rlf']","['instrumental', 'fast tempo', 'happy', 'perky', 'punchy', 'background sounds super imposed by music', 'digital pads', 'lively', 'synthesised violins', 'upbeat', 'synthesiser arrangements', 'lively piano harmony', 'punchy digital drum rhythm', 'sound of beeping', 'funky bass line', 'tapping']",49,16
#NAME?,30,40,"/m/01jnbd,/m/02v2lh,/m/04rlf","['poor quality', 'no singer', 'instrumental', 'piano', 'strings', 'acoustic guitar', 'gentle', 'mellow', 'optimistic']","This is a poor quality instrumental piece played in the background of a sign language video. There is an optimistic sounding tune being played by the strings, the piano and the acoustic guitar. The atmosphere is mellow and gentle. Samples from this piece could be lifted to be used in beat-making.",9,False,True,"['/m/01jnbd', ' /m/02v2lh', ' /m/04rlf']","['poor quality', 'no singer', 'instrumental', 'piano', 'strings', 'acoustic guitar', 'gentle', 'mellow', 'optimistic']",51,9
#NAME?,520,530,"/m/01jg02,/m/01jg1z,/m/04rlf","['soundeffects', 'cinematic', 'amateur recording']",There is a low sound that reminds of a heartbeat rising in tempo before a splash-like metallic sound with reverb comes in and breaks the atmosphere in half. This audio may be used for a movie scene. This audio is in poor quality.,6,False,True,"['/m/01jg02', ' /m/01jg1z', ' /m/04rlf']","['soundeffects', 'cinematic', 'amateur recording']",43,3
#NAME?,21,31,"/m/04rlf,/m/0fqfqc","['ambient room noise', 'instrumental', 'male singer', 'beep tones', 'wind noise', 'doorsteps', 'noise', 'non musical tones', 'home improvement video', 'unimpressive sounds', 'drawer closing', 'home video', 'passionate singing', 'medium tempo']",Ambient sound still in the room with a mild background music playing.  A male singer sings a passionate melody with subtle background music. The audio quality is very poor with drawer sliding sound and general noise.,1,False,True,"['/m/04rlf', ' /m/0fqfqc']","['ambient room noise', 'instrumental', 'male singer', 'beep tones', 'wind noise', 'doorsteps', 'noise', 'non musical tones', 'home improvement video', 'unimpressive sounds', 'drawer closing', 'home video', 'passionate singing', 'medium tempo']",36,14
#NAME?,30,40,"/m/03_d0,/m/04rlf","['low quality', 'mellow piano melody', 'noisy', 'lip smack noise', 'r&b', 'emotional female vocal', 'live performance']","The low quality recording features a live performance of a R&B song that consists of a mellow piano melody and an emotional female vocal singing over it. There are some noises in the recording, alongside lip smack noise.",4,False,True,"['/m/03_d0', ' /m/04rlf']","['low quality', 'mellow piano melody', 'noisy', 'lip smack noise', 'r&b', 'emotional female vocal', 'live performance']",38,7
#NAME?,350,360,"/m/015lz1,/m/01lyv,/m/04rlf,/m/07s0s5r","['low quality', 'noisy', 'mono', 'acoustic rhythm guitar', 'flat male vocal', 'passionate', 'country']","The low quality recording features a flat male vocal singing over acoustic rhythm guitar chords, after which that same vocal is talking. The song sounds passionate, while the recording, overall, is noisy and in mono.",4,False,False,"['/m/015lz1', ' /m/01lyv', ' /m/04rlf', ' /m/07s0s5r']","['low quality', 'noisy', 'mono', 'acoustic rhythm guitar', 'flat male vocal', 'passionate', 'country']",35,7
#NAME?,360,370,/m/0395lw,"['bell', 'faint speaking', 'male voice', 'resonance', 'live recording']","In this clip, a large bell is rung and left to ring. We can hear the resonance in the room as the bell rings. There is then the faint sound of a male speaking in the background. It's a live recording.",3,False,False,['/m/0395lw'],"['bell', 'faint speaking', 'male voice', 'resonance', 'live recording']",41,5
#NAME?,30,40,"/m/02bxd,/m/04rlf","['low quality', 'low windpipe vocal sounds', 'nature atmosphere sound effect', 'birds chirping', 'water flowing sound effect', 'harsh', 'loud']","The low quality recording features a low windpipe vocal sound played in nature, surrounded by flowing water and chirping birds sound effects. Sounds a bit harsh and loud, as the tone of the windpipe is constantly changing.",4,False,True,"['/m/02bxd', ' /m/04rlf']","['low quality', 'low windpipe vocal sounds', 'nature atmosphere sound effect', 'birds chirping', 'water flowing sound effect', 'harsh', 'loud']",37,7
#NAME?,40,50,"/m/01swy6,/m/04rlf,/m/0l14j_,/m/0mkg","['swiss folk music', 'yodeling', 'male vocal', 'female vocal', 'duet', 'melodeon', 'pastoral']",This is a Swiss folk music piece. There is a male vocal and there is a female vocal. They are yodeling as a duet. The melody in the background is being played by a melodeon. There is a pastoral feel to it. This piece could be used in the soundtrack of a movie that takes place in the Alps region.,9,False,False,"['/m/01swy6', ' /m/04rlf', ' /m/0l14j_', ' /m/0mkg']","['swiss folk music', 'yodeling', 'male vocal', 'female vocal', 'duet', 'melodeon', 'pastoral']",60,7
#NAME?,30,40,"/m/04rlf,/t/dd00035","['low quality', 'rock', 'instrumental', 'shimmering hi hats', 'punchy snare', 'groovy bass', 'acoustic rhythm guitar', 'electric guitar chord progression', 'energetic', 'addictive']","The low quality recording features a rock song instrumental that consists of shimmering hi hats, punchy snare, groovy bass guitar, acoustic rhythm guitar in the left channel and electric guitar chord progression in the right channel of the stereo image. It sounds energetic and addictive.",4,False,False,"['/m/04rlf', ' /t/dd00035']","['low quality', 'rock', 'instrumental', 'shimmering hi hats', 'punchy snare', 'groovy bass', 'acoustic rhythm guitar', 'electric guitar chord progression', 'energetic', 'addictive']",45,10
#NAME?,50,60,"/m/01kcd,/m/0319l","['slow jazz song', 'barbershop quartet', 'trumpets', 'double bass', 'vocal harmony', 'male voices', 'piano', 'slow tempo', 'romantic song']",This slow jazz song features male voices singing the main melody in harmony. This is accompanied by percussion playing a simple beat. The double bass plays the root notes of the chords. Trumpets play a fill in harmony in between lines. A piano plays an arpeggiated chord at the end of the first line. This song has a romantic mood. This song can be played in a classic romantic movie.,0,False,False,"['/m/01kcd', ' /m/0319l']","['slow jazz song', 'barbershop quartet', 'trumpets', 'double bass', 'vocal harmony', 'male voices', 'piano', 'slow tempo', 'romantic song']",70,9
#NAME?,190,200,"/m/01s0ps,/m/05148p4,/m/05r5c","['hip-hop', 'electronic', 'crisp synth', 'melodic pad', 'piano sample', 'strong bass', 'loud electronic drums', 'modern sounding', 'aggressive', 'energetic']",This is a hip-hop music piece. There is a crisp synth sound playing the melody. The piece has a strong bass sound. There is a melodic pad with beat repeat effect that uses a piano sample. The rhythmic background is provided by a loud electronic drum beat. The piece is energetic and modern sounding. It could be used in the soundtrack of a sci-fi movie where there is a lot of action going on.,9,False,False,"['/m/01s0ps', ' /m/05148p4', ' /m/05r5c']","['hip-hop', 'electronic', 'crisp synth', 'melodic pad', 'piano sample', 'strong bass', 'loud electronic drums', 'modern sounding', 'aggressive', 'energetic']",74,10
#NAME?,30,40,"/m/02w4v,/m/04rlf","['folkmusic', 'amateur recording', 'accordion', 'percussion', 'male voice singing', 'higher register', 'medium to uptempo']",Someone is playing a percussive instrument that reminds a little bit of a tabla while someone else is playing a fast melody on an accordion. A male voice is singing at a higher pitch. This song may be playing live.,6,False,False,"['/m/02w4v', ' /m/04rlf']","['folkmusic', 'amateur recording', 'accordion', 'percussion', 'male voice singing', 'higher register', 'medium to uptempo']",40,7
#NAME?,70,80,"/m/015lz1,/m/04rlf,/m/0g293,/t/dd00126","['latin dance music', 'zumba', 'amateur recording', 'poor quality', 'female voice', 'shouting', 'male vocal', 'melodic singing', 'strong bass', 'loud electronic drums', 'energetic']",This is an amateur recording of a dance performance over a latin dance music piece in the style of zumba. There is a female dance instructor shouting directions to the dancers. There is a male vocalist singing melodically in the background piece. A strong bass and a loud electronic drum beat can be heard very distinctly. The atmosphere is energetic. The quality of the recording is quite poor.,9,False,False,"['/m/015lz1', ' /m/04rlf', ' /m/0g293', ' /t/dd00126']","['latin dance music', 'zumba', 'amateur recording', 'poor quality', 'female voice', 'shouting', 'male vocal', 'melodic singing', 'strong bass', 'loud electronic drums', 'energetic']",68,11
#NAME?,30,40,"/m/04rlf,/m/04wptg","['pop', 'digital drums', 'e-guitar', 'keyboard melodies', 'male voice singing', 'higher register', 'bass', 'uptempo', 'positive atmosphere']",Digital drums are playing a four on the floor rhythm with a kick on every beat along with a bassline and a keyboard sound playing short rhythmic chords and a e-guitar playing a simple melody along. A male voice is singing in a higher key. This song may be playing at a folkfest.,6,True,True,"['/m/04rlf', ' /m/04wptg']","['pop', 'digital drums', 'e-guitar', 'keyboard melodies', 'male voice singing', 'higher register', 'bass', 'uptempo', 'positive atmosphere']",53,9
#NAME?,30,40,"/m/04rlf,/m/0gywn","['arabesque', 'kurdish folk music', 'baglama', 'zurna', 'electronic drums', 'percussion', 'upbeat', 'lively', 'folk dance', 'halay']",This is a Kurdish folk music piece. The main melody is first played by the baglama and then by the zurna. The rhythmic background consists of an electronic drum beat and supportive percussive elements. The atmosphere is lively. This piece could be used as an accompaniment piece for a folk dance course such as the halay dance.,9,False,False,"['/m/04rlf', ' /m/0gywn']","['arabesque', 'kurdish folk music', 'baglama', 'zurna', 'electronic drums', 'percussion', 'upbeat', 'lively', 'folk dance', 'halay']",57,10
#NAME?,30,40,"/m/02p0sh1,/m/04rlf","['southern rock', 'blues rock', 'live performance', 'electric guitar', 'guitar solo', 'keyboard', 'bass guitar', 'acoustic drums', 'groovy']",This is a live performance of a southern rock piece. There is an electric guitar playing a blues solo. There is a bass guitar playing in the background. The rhythm is being played by the acoustic drums. The atmosphere is groovy. This piece could be playing in the background at a rock bar.,9,False,False,"['/m/02p0sh1', ' /m/04rlf']","['southern rock', 'blues rock', 'live performance', 'electric guitar', 'guitar solo', 'keyboard', 'bass guitar', 'acoustic drums', 'groovy']",53,9
